ref;description;category;color;composition;sku;stock;size;image;video
80109;Blusa Poliéster Alça Larga Com Fivelas E Decote V;BLUSA;Azul;100,00% POLIESTER;80109-G-AZUL;1;G;80109AZUL.jpg;80109AZUL.mp4
80109;Blusa Poliéster Alça Larga Com Fivelas E Decote V;BLUSA;Coral;100,00% POLIESTER;80109-M-CORAL;1;M;80109CORAL.jpg;80109CORAL.mp4
80117;Cardigan Algodão Com Poliéster Texturizado Manga Longa;CARDIGAN;Verde; 20,00% ALGODÃO   80,00% POLIESTER;80117-M-VERDE;6;M;80117VERDE.jpg;80117VERDE.mp4
80119;Blusa Com Botão Manga Curta;BLUSA;Branco; 10,00% ELASTANO   90,00% POLIESTER;80119-G-BRANCO;1;G;80119BRANCO.jpg;80119BRANCO.mp4
80119;Blusa Com Botão Manga Curta;BLUSA;Preto; 10,00% ELASTANO   90,00% POLIESTER;80119-G-PRETO;2;G;80119PRETO.jpg;80119PRETO.mp4
80120;Blusa Babado Mangas;BLUSA;Branco;  3,00% ELASTANO   97,00% VISCOSE;80120-G2-BRANCO;4;G2;80120BRANCO.jpg;80120BRANCO.mp4
80123;Blusa De Malha Decote V  Transpassado Na Barra Manga Curta;BLUSA;Verde; 50,00% ALGODAO   50,00% POLIESTER;80123-P-VERDE;3;P;80123VERDE.jpg;80123VERDE.mp4
80123;Blusa De Malha Decote V  Transpassado Na Barra Manga Curta;BLUSA;Verde; 50,00% ALGODAO   50,00% POLIESTER;80123-M-VERDE;6;M;80123VERDE.jpg;80123VERDE.mp4
80123;Blusa De Malha Decote V  Transpassado Na Barra Manga Curta;BLUSA;Verde; 50,00% ALGODAO   50,00% POLIESTER;80123-G-VERDE;6;G;80123VERDE.jpg;80123VERDE.mp4
80123;Blusa De Malha Decote V  Transpassado Na Barra Manga Curta;BLUSA;Verde; 50,00% ALGODAO   50,00% POLIESTER;80123-GG-VERDE;7;GG;80123VERDE.jpg;80123VERDE.mp4
80123;Blusa De Malha Decote V  Transpassado Na Barra Manga Curta;BLUSA;Verde; 50,00% ALGODAO   50,00% POLIESTER;80123-G1-VERDE;8;G1;80123VERDE.jpg;80123VERDE.mp4
80123;Blusa De Malha Decote V  Transpassado Na Barra Manga Curta;BLUSA;Verde; 50,00% ALGODAO   50,00% POLIESTER;80123-G2-VERDE;8;G2;80123VERDE.jpg;80123VERDE.mp4
80123;Blusa De Malha Decote V  Transpassado Na Barra Manga Curta;BLUSA;Verde; 50,00% ALGODAO   50,00% POLIESTER;80123-G3-VERDE;9;G3;80123VERDE.jpg;80123VERDE.mp4
80125;Blusa;BLUSA;Azul Bebe;  5,50% ELASTANO   94,50% VISCOSE;80125-P-AZUL BEBE;6;P;80125AZULBEBE.jpg;80125AZULBEBE.mp4
80125;Blusa;BLUSA;Azul Bebe;  5,50% ELASTANO   94,50% VISCOSE;80125-G-AZUL BEBE;9;G;80125AZULBEBE.jpg;80125AZULBEBE.mp4
80125;Blusa;BLUSA;Azul Bebe;  5,50% ELASTANO   94,50% VISCOSE;80125-GG-AZUL BEBE;10;GG;80125AZULBEBE.jpg;80125AZULBEBE.mp4
80125;Blusa;BLUSA;Azul Bebe;  5,50% ELASTANO   94,50% VISCOSE;80125-G2-AZUL BEBE;1;G2;80125AZULBEBE.jpg;80125AZULBEBE.mp4
80128;Blusa Com Botões Falso E Amarração Frente;BLUSA;Azul;  7,00% ELASTANO   93,00% VISCOSE;80128-G-AZUL;3;G;80128AZUL.jpg;80128AZUL.mp4
80128;Blusa Com Botões Falso E Amarração Frente;BLUSA;Azul;  7,00% ELASTANO   93,00% VISCOSE;80128-GG-AZUL;3;GG;80128AZUL.jpg;80128AZUL.mp4
80128;Blusa Com Botões Falso E Amarração Frente;BLUSA;Azul;  7,00% ELASTANO   93,00% VISCOSE;80128-G1-AZUL;1;G1;80128AZUL.jpg;80128AZUL.mp4
80128;Blusa Com Botões Falso E Amarração Frente;BLUSA;Azul;  7,00% ELASTANO   93,00% VISCOSE;80128-G2-AZUL;4;G2;80128AZUL.jpg;80128AZUL.mp4
80128;Blusa Com Botões Falso E Amarração Frente;BLUSA;Azul;  7,00% ELASTANO   93,00% VISCOSE;80128-G3-AZUL;5;G3;80128AZUL.jpg;80128AZUL.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Preto;100,00% VISCOSE;80129-G-PRETO;5;G;80129PRETO.jpg;80129PRETO.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Preto;100,00% VISCOSE;80129-GG-PRETO;3;GG;80129PRETO.jpg;80129PRETO.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Preto;100,00% VISCOSE;80129-G1-PRETO;5;G1;80129PRETO.jpg;80129PRETO.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Preto;100,00% VISCOSE;80129-G2-PRETO;4;G2;80129PRETO.jpg;80129PRETO.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Marinho;100,00% VISCOSE;80129-G-MARINHO;4;G;80129MARINHO.jpg;80129MARINHO.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Marinho;100,00% VISCOSE;80129-GG-MARINHO;4;GG;80129MARINHO.jpg;80129MARINHO.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Marinho;100,00% VISCOSE;80129-G1-MARINHO;3;G1;80129MARINHO.jpg;80129MARINHO.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Marinho;100,00% VISCOSE;80129-G2-MARINHO;6;G2;80129MARINHO.jpg;80129MARINHO.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Rosa;100,00% VISCOSE;80129-M-ROSA;1;M;80129ROSA.jpg;80129ROSA.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Rosa;100,00% VISCOSE;80129-G1-ROSA;2;G1;80129ROSA.jpg;80129ROSA.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Rosa;100,00% VISCOSE;80129-G2-ROSA;4;G2;80129ROSA.jpg;80129ROSA.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Nude;100,00% VISCOSE;80129-P-NUDE;1;P;80129NUDE.jpg;80129NUDE.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Nude;100,00% VISCOSE;80129-M-NUDE;3;M;80129NUDE.jpg;80129NUDE.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Nude;100,00% VISCOSE;80129-G-NUDE;4;G;80129NUDE.jpg;80129NUDE.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Nude;100,00% VISCOSE;80129-G1-NUDE;2;G1;80129NUDE.jpg;80129NUDE.mp4
80129;Blusa Alça Larga C/ Botões Falsos E Amarração Lateral;BLUSA;Nude;100,00% VISCOSE;80129-G2-NUDE;3;G2;80129NUDE.jpg;80129NUDE.mp4
80130;Blusa Mc  Malha Com Franja Barra;BLUSA;Preto;  1,00% ELASTANO   45,00% POLIESTER   54,00% VISCOSE;80130-P-PRETO;6;P;80130PRETO.jpg;80130PRETO.mp4
